"Timestamp","Ki seks ou ?","Ki tranch laj ou ?","Nan ki depatman wap viv ? (Si'w pap viv ayiti ajoute non peyi wap viv lan)","Ki nivo etid ou ?","Eske'w fè nouvo kat dèmalòg (Kat idantifikasyon) ou an deja ?","Eske'w vote deja ?","Daprè ou menm, pou ki rezon ou panse on moun pa al vote ?","Pou ki rezon ou panse on moun sipoze al vote ?","Eske ou pral vote ane sa ?","Eske ou panse eleksyon sila ap pote chanjman nan peyi a ?"
"2021/05/14 1:56:20 pm GMT-4","Gason","Ant 18 ak 24 lane","Nò","Pwofesyonèl","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann","Non","Wi"
"2021/05/14 2:09:27 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè;Pou enkouraje chanjman","Non","Non"
"2021/05/14 2:10:19 pm GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Inivèsitè","Non","Non","Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Non","Non"
"2021/05/14 2:37:36 pm GMT-4","Gason","Ant 25 ak 34 lane","Nò","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Non","Non"
"2021/05/14 2:42:01 pm GMT-4","Gason","Ant 25 ak 34 lane","Latibonit","Inivèsitè","Wi","Wi","Pou ensekirite ki genyen nan peyi a","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/14 9:32:24 pm GMT-4","Fi","Ant 18 ak 24 lane","Latibonit","Inivèsitè","Wi","Wi","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/14 10:45:35 pm GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 10:18:06 am GMT-4","Gason","Ant 25 ak 34 lane","Nò","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 10:23:00 am GMT-4","Fi","Ant 15 ak 17 lane","Lwès","Segondè","Non","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 10:26:31 am GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Pou kob gaz kapab desann;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Non"
"2021/05/16 10:27:16 am GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !;Pou nou konbat lamizè","Non","Wi"
"2021/05/16 10:29:09 am GMT-4","Gason","Ant 18 ak 24 lane","Sid","Inivèsitè","Non","Wi","Pou ensekirite ki genyen nan peyi a","Chak grenn vòt konte !","Non","Non"
"2021/05/16 10:30:00 am GMT-4","Gason","Ant 25 ak 34 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 10:33:05 am GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Chak grenn vòt konte !","Wi","Wi"
"2021/05/16 10:35:49 am GMT-4","Gason","Ant 25 ak 34 lane","Nò","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye;Neg leta yo tro volè","Chak grenn vòt konte !","Non","Non"
"2021/05/16 10:41:06 am GMT-4","Gason","Ant 25 ak 34 lane","Sidès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 10:43:18 am GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Non","Wi"
"2021/05/16 10:49:18 am GMT-4","Fi","Ant 18 ak 24 lane","Lwès","Pwofesyonèl","Non","Non","Politisyen nou yo pa serye;Mwen pa enterese avek bagay konsa","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Non","Non"
"2021/05/16 10:55:41 am GMT-4","Fi","Ant 35 ak 44 lane","Lwès","Segondè","Wi","Wi","Politisyen nou yo pa serye","Chak grenn vòt konte !","Wi","Non"
"2021/05/16 11:09:42 am GMT-4","Fi","Ant 25 ak 34 lane","Canada","Inivèsitè","Non","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 11:15:56 am GMT-4","Gason","Ant 18 ak 24 lane","Lwès","Inivèsitè","Wi","Non","Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Wi","Non"
"2021/05/16 11:56:20 am GMT-4","Fi","Ant 25 ak 34 lane","Lwès","Inivèsitè","Wi","Non","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman","Non","Non"
"2021/05/16 12:01:24 pm GMT-4","Fi","Ant 35 ak 44 lane","Latibonit","Segondè","Wi","Wi","Pou ensekirite ki genyen nan peyi a;Politisyen nou yo pa serye","Le'w vote se yon opòtinite pou chanjman;Chak grenn vòt konte !","Wi","Non"
